filename|expected_json|evaluation_notes|type
01.m4a|[{"item": "Lunch", "amount": 25.00, "category": "Food"}]|"Baseline: Simple single item."|Normal
02.m4a|[{"item": "Coffee", "amount": 5.00, "category": "Food"}, {"item": "Groceries", "amount": 50.00, "category": "Food"}]|"Clear multi-item transaction. (Groceries = Food)"|Normal
03.m4a|[{"item": "Breakfast", "amount": 5.00, "category": "Food"}, {"item": "Lunch", "amount": 12.00, "category": "Food"}, {"item": "Coffee", "amount": 5.00, "category": "Food"}]|"Clear multi-item transaction."|Normal
04.m4a|[{"item": "Train Ticket", "amount": 33.75, "category": "Transport"}, {"item": "Bus Pass", "amount": 50.00, "category": "Transport"}]|"Complex numbers and two items."|Normal
05.m4a|[{"item": "Computer Mouse", "amount": 60.00, "category": "Retail"}, {"item": "Keyboard", "amount": 89.00, "category": "Retail"}]|"Multiple items, testing 'bucks' unit."|Edge_Unit
06.m4a|[]|"Negative test: No spending mentioned."|Edge_Negative
07.m4a|[{"item": "Movie Ticket", "amount": 10.00, "category": "Entertainment"}, {"item": "Gas", "amount": 5.00, "category": "Transport"}]|"Testing multiple categories in one go."|Normal
08.m4a|[{"item": "Groceries", "amount": 103.00, "category": "Food"}, {"item": "Smoothie", "amount": 9.00, "category": "Food"}]|"Long sentence, two items. (Groceries = Food)"|Normal
09.m4a|[]|"Negative test: Transfer, not expense."|Edge_Negative
10.m4a|[{"item": "Beer and Burger", "amount": 10.00, "category": "Food"}, {"item": "Subway", "amount": 5.00, "category": "Transport"}, {"item": "Gift", "amount": 30.00, "category": "Retail"}]|"Mixing units (bucks/dollars)."|Edge_Unit
11.m4a|[{"item": "Meal", "amount": 20.00, "category": "Food"}, {"item": "Tip", "amount": 20.00, "category": "Food"}]|"Testing LLM ability to follow final instruction (correcting total)."|Edge_Logic
12.m4a|[{"item": "Game Controller", "amount": 50.00, "category": "Retail"}, {"item": "Snacks", "amount": 5.00, "category": "Food"}]|"Testing LLM to distinguish between conflicting categories."|Edge_Logic
13.m4a|[{"item": "Gas", "amount": 72.50, "category": "Transport"}, {"item": "Dog Food", "amount": 30.00, "category": "Retail"}, {"item": "Shirt", "amount": 55.00, "category": "Retail"}]|"Long run-on sentence with three distinct transactions."|Edge_Logic
14.m4a|[]|"Negative test: No amount mentioned, should return empty."|Edge_Negative
15.m4a|[{"item": "Netflix Subscription", "amount": 15.99, "category": "Entertainment"}, {"item": "Electricity Bill", "amount": 20.00, "category": "Utilities"}]|"Testing multiple naming entities."|Normal
