Case ID,Latency (s),Final JSON Acc,Slot Acc,Category Acc,Status,Input Text,Actual JSON,Expected JSON
1,3.22,1.0,1.0,1.0,PASS,"Okay, got a latte for 4.50, then a sandwich for 8.75, and a magazine for 6.00.","[{""item"": ""Latte"", ""amount"": 4.5, ""category"": ""Food""}, {""item"": ""Sandwich"", ""amount"": 8.75, ""category"": ""Food""}, {""item"": ""Magazine"", ""amount"": 6.0, ""category"": ""Retail""}]","[{""item"": ""latte"", ""amount"": 4.50, ""category"": ""Food""}, {""item"": ""sandwich"", ""amount"": 8.75, ""category"": ""Food""}, {""item"": ""magazine"", ""amount"": 6.00, ""category"": ""Retail""}]"
2,2.75,0.0,0.0,0.0,FAIL: Length Mismatch,"I was running late for work this morning, so I grabbed a quick breakfast sandwich and a large coffee from the cafe on the corner. It was a bit pricey, but it hit the spot.","[{""item"": ""Breakfast sandwich"", ""amount"": 0.0, ""category"": ""Food""}, {""item"": ""Large coffee"", ""amount"": 0.0, ""category"": ""Food""}]","[{""item"": ""breakfast sandwich and a large coffee from the cafe on the corner"", ""amount"": 0.00, ""category"": ""Food""}]"
3,2.38,1.0,1.0,1.0,PASS,Just dropped 80 bucks on some new kicks at the mall.,"[{""item"": ""New kicks"", ""amount"": 80.0, ""category"": ""Retail""}]","[{""item"": ""new kicks"", ""amount"": 80.00, ""category"": ""Retail""}]"
4,4.69,0.0,0.4444444444444444,0.3333333333333333,FAIL,"Okay, coffee three fifty, bus pass twenty, shampoo twelve, sandwich eight, new socks fifteen, and a magazine five.","[{""item"": ""Coffee"", ""amount"": 3.5, ""category"": ""Food""}, {""item"": ""Bus Pass"", ""amount"": 20.0, ""category"": ""Transport""}, {""item"": ""Shampoo"", ""amount"": 12.0, ""category"": ""Personal Care""}, {""item"": ""Sandwich"", ""amount"": 8.0, ""category"": ""Food""}, {""item"": ""Socks"", ""amount"": 15.0, ""category"": ""Retail""}, {""item"": ""Magazine"", ""amount"": 5.0, ""category"": ""Retail""}]","[{""item"": ""coffee"", ""amount"": 3.50, ""category"": ""Food""}, {""item"": ""bus pass"", ""amount"": 20.00, ""category"": ""Transport""}, {""item"": ""shampoo"", ""amount"": 12.00, ""category"": ""Personal Care""}, {""item"": ""sandwich"", ""amount"": 8.00, ""category"": ""Food""}, {""item"": ""new socks"", ""amount"": 15.00, ""category"": ""Retail""}, {""item"": ""magazine"", ""amount"": 5.00, ""category"": ""Entertainment""}]"
5,4.5,0.0,0.4,0.4,FAIL,"Okay, coffee 4.50, bus pass 2.75, new socks 12.99, a sandwich 8.25, and shampoo 6.80.","[{""item"": ""Coffee"", ""amount"": 4.5, ""category"": ""Food""}, {""item"": ""Bus Pass"", ""amount"": 2.75, ""category"": ""Transport""}, {""item"": ""Socks"", ""amount"": 12.99, ""category"": ""Retail""}, {""item"": ""Sandwich"", ""amount"": 8.25, ""category"": ""Food""}, {""item"": ""Shampoo"", ""amount"": 6.8, ""category"": ""Personal Care""}]","[{""item"": ""coffee"", ""amount"": 4.50, ""category"": ""Food""}, {""item"": ""bus pass"", ""amount"": 2.75, ""category"": ""Transport""}, {""item"": ""new socks"", ""amount"": 12.99, ""category"": ""Retail""}, {""item"": ""sandwich"", ""amount"": 8.25, ""category"": ""Food""}, {""item"": ""shampoo"", ""amount"": 6.80, ""category"": ""Personal Care""}]"
6,2.05,0.0,0.6666666666666666,1.0,FAIL,"I was running late for work this morning, so I grabbed a quick breakfast sandwich and coffee from the cafe downstairs, which came to about $12.75.","[{""item"": ""Breakfast sandwich and coffee"", ""amount"": 12.75, ""category"": ""Food""}]","[{""item"": ""breakfast sandwich and coffee from the cafe downstairs"", ""amount"": 12.75, ""category"": ""Food""}]"
7,4.3,1.0,1.0,1.0,PASS,"Okay, spent 3.50 on a latte, 12.99 for lunch, 2.00 on a bus fare, 8.49 on shampoo, and 25 for a new t-shirt.","[{""item"": ""Latte"", ""amount"": 3.5, ""category"": ""Food""}, {""item"": ""Lunch"", ""amount"": 12.99, ""category"": ""Food""}, {""item"": ""Bus Fare"", ""amount"": 2.0, ""category"": ""Transport""}, {""item"": ""Shampoo"", ""amount"": 8.49, ""category"": ""Personal Care""}, {""item"": ""T-Shirt"", ""amount"": 25.0, ""category"": ""Retail""}]","[{""item"": ""latte"", ""amount"": 3.50, ""category"": ""Food""}, {""item"": ""lunch"", ""amount"": 12.99, ""category"": ""Food""}, {""item"": ""bus fare"", ""amount"": 2.00, ""category"": ""Transport""}, {""item"": ""shampoo"", ""amount"": 8.49, ""category"": ""Personal Care""}, {""item"": ""t-shirt"", ""amount"": 25.00, ""category"": ""Retail""}]"
8,2.05,0.0,0.6666666666666666,1.0,FAIL,"I was running late for work this morning, so I grabbed a quick breakfast sandwich and a coffee from the little cafe near the station, which cost me $12.75.","[{""item"": ""Breakfast sandwich and coffee"", ""amount"": 12.75, ""category"": ""Food""}]","[{""item"": ""breakfast sandwich and a coffee from the little cafe near the station"", ""amount"": 12.75, ""category"": ""Food""}]"
9,4.09,1.0,1.0,1.0,PASS,Okay got a coffee for 4.50 then a sandwich 8.75 and a bus ticket 2.25 and a magazine 5.99,"[{""item"": ""Coffee"", ""amount"": 4.5, ""category"": ""Food""}, {""item"": ""Sandwich"", ""amount"": 8.75, ""category"": ""Food""}, {""item"": ""Bus Ticket"", ""amount"": 2.25, ""category"": ""Transport""}, {""item"": ""Magazine"", ""amount"": 5.99, ""category"": ""Retail""}]","[{""item"": ""coffee"", ""amount"": 4.50, ""category"": ""Food""}, {""item"": ""sandwich"", ""amount"": 8.75, ""category"": ""Food""}, {""item"": ""bus ticket"", ""amount"": 2.25, ""category"": ""Transport""}, {""item"": ""magazine"", ""amount"": 5.99, ""category"": ""Retail""}]"
10,6.25,1.0,1.0,1.0,PASS,"I bought milk for 3.50, a t-shirt for 25, and a bus ticket for 2.75.","[{""item"": ""Milk"", ""amount"": 3.5, ""category"": ""Food""}, {""item"": ""T-shirt"", ""amount"": 25.0, ""category"": ""Retail""}, {""item"": ""Bus Ticket"", ""amount"": 2.75, ""category"": ""Transport""}]","[{""item"": ""milk"", ""amount"": 3.50, ""category"": ""Food""}, {""item"": ""t-shirt"", ""amount"": 25.00, ""category"": ""Retail""}, {""item"": ""bus ticket"", ""amount"": 2.75, ""category"": ""Transport""}]"
11,2.35,1.0,1.0,1.0,PASS,I spent 12.50 at Target yesterday.,"[{""item"": ""Target"", ""amount"": 12.5, ""category"": ""Retail""}]","[{""item"": ""Target"", ""amount"": 12.50, ""category"": ""Retail""}]"
