Case ID,Type,Status,Audio File,Latency (s),Final JSON Acc,Slot Acc,Category Acc,Transcript,Actual JSON,Expected JSON,Notes
1,Normal,FAIL,01.m4a,4.33,0.0,0.6666666666666666,1.0,The launch was $25.,"[{""item"": ""Launch"", ""amount"": 25.0, ""category"": ""Food""}]","[{""item"": ""Lunch"", ""amount"": 25.00, ""category"": ""Food""}]",Baseline: Simple single item.
2,Normal,PASS,02.m4a,4.84,1.0,1.0,1.0,"I grabbed two things, $5 on coffee, and then I paid $50 for the week's groceries.","[{""item"": ""Coffee"", ""amount"": 5.0, ""category"": ""Food""}, {""item"": ""Groceries"", ""amount"": 50.0, ""category"": ""Food""}]","[{""item"": ""Coffee"", ""amount"": 5.00, ""category"": ""Food""}, {""item"": ""Groceries"", ""amount"": 50.00, ""category"": ""Food""}]",Clear multi-item transaction. (Groceries = Food)
3,Normal,PASS,03.m4a,5.49,1.0,1.0,1.0,"Today I had breakfast, it was $5. Lunch was $12, and then I grabbed a coffee which was around $5.","[{""item"": ""Breakfast"", ""amount"": 5.0, ""category"": ""Food""}, {""item"": ""Lunch"", ""amount"": 12.0, ""category"": ""Food""}, {""item"": ""Coffee"", ""amount"": 5.0, ""category"": ""Food""}]","[{""item"": ""Breakfast"", ""amount"": 5.00, ""category"": ""Food""}, {""item"": ""Lunch"", ""amount"": 12.00, ""category"": ""Food""}, {""item"": ""Coffee"", ""amount"": 5.00, ""category"": ""Food""}]",Clear multi-item transaction.
4,Normal,PASS,04.m4a,4.2,1.0,1.0,1.0,My train ticket cost $33.75 and my bus pass was $50.,"[{""item"": ""Train Ticket"", ""amount"": 33.75, ""category"": ""Transport""}, {""item"": ""Bus Pass"", ""amount"": 50.0, ""category"": ""Transport""}]","[{""item"": ""Train Ticket"", ""amount"": 33.75, ""category"": ""Transport""}, {""item"": ""Bus Pass"", ""amount"": 50.00, ""category"": ""Transport""}]",Complex numbers and two items.
5,Edge_Unit,PASS,05.m4a,4.5,1.0,1.0,1.0,I bought a new computer mouse for 60 bucks and the keyboard for $89.,"[{""item"": ""Computer Mouse"", ""amount"": 60.0, ""category"": ""Retail""}, {""item"": ""Keyboard"", ""amount"": 89.0, ""category"": ""Retail""}]","[{""item"": ""Computer Mouse"", ""amount"": 60.00, ""category"": ""Retail""}, {""item"": ""Keyboard"", ""amount"": 89.00, ""category"": ""Retail""}]","Multiple items, testing 'bucks' unit."
6,Edge_Negative,PASS,06.m4a,3.58,1.0,1.0,1.0,"It's cold outside, I hope it doesn't snow tomorrow. I just want to finish this project.",[],[],Negative test: No spending mentioned.
7,Normal,FAIL: Length Mismatch,07.m4a,2.78,0.0,0.0,0.0,"I paid my friend back $10 for the movie ticket, and I still owe her 5 more for gas.",[],"[{""item"": ""Movie Ticket"", ""amount"": 10.00, ""category"": ""Entertainment""}, {""item"": ""Gas"", ""amount"": 5.00, ""category"": ""Transport""}]",Testing multiple categories in one go.
8,Normal,FAIL,08.m4a,4.59,0.0,0.8333333333333334,1.0,The groceries cost $103 and later I spent $9 on smoothies.,"[{""item"": ""Groceries"", ""amount"": 103.0, ""category"": ""Food""}, {""item"": ""Smoothies"", ""amount"": 9.0, ""category"": ""Food""}]","[{""item"": ""Groceries"", ""amount"": 103.00, ""category"": ""Food""}, {""item"": ""Smoothie"", ""amount"": 9.00, ""category"": ""Food""}]","Long sentence, two items. (Groceries = Food)"
9,Edge_Negative,PASS,09.m4a,2.88,1.0,1.0,1.0,"I spent nothing today, absolutely zero, but I did transfer $50 to my savings account.",[],[],"Negative test: Transfer, not expense."
10,Edge_Unit,PASS,10.m4a,4.99,1.0,1.0,1.0,"10 bucks for a beer and a burger, $5 for a subway, and $30 for a gift.","[{""item"": ""Beer and Burger"", ""amount"": 10.0, ""category"": ""Food""}, {""item"": ""Subway"", ""amount"": 5.0, ""category"": ""Transport""}, {""item"": ""Gift"", ""amount"": 30.0, ""category"": ""Retail""}]","[{""item"": ""Beer and Burger"", ""amount"": 10.00, ""category"": ""Food""}, {""item"": ""Subway"", ""amount"": 5.00, ""category"": ""Transport""}, {""item"": ""Gift"", ""amount"": 30.00, ""category"": ""Retail""}]",Mixing units (bucks/dollars).
